Booking ID,Guest Name,Gender,Age,Contact Number,Email,Room Type,Room Number,Nights,Check-in Date,Check-out Date,Total Cost,Payment Status,Payment Method,Special Requests,Loyalty Member,Booking Source,City
B0001,Jesse Flores,Female,69,835-220-1471,cherylhammond@yahoo.com,Suite,969,8,2025-06-17,2025-06-25,2053,Paid,UPI,Late check-out,Yes,Walk-in,Christopherfurt
B0002,David Lester,Other,35,+1-212-954-7544,cfoster@tran-morrow.biz,Standard,326,4,2024-10-30,2024-11-03,4220,Cancelled,Cash,Late check-out,Yes,App,Lake Diana
B0003,Michael Mcbride,Female,62,+1-676-377-7568x64547,hamptonwilliam@hicks.biz,Standard,666,6,2024-10-09,2024-10-15,19159,Paid,UPI,None,No,App,West Thomasview
B0004,Cristian Shea,Other,65,650.386.5134x02492,holly17@martinez.com,Deluxe,561,7,2024-09-11,2024-09-18,19429,Paid,Cash,None,No,App,Archerland
B0005,Jordan Castro,Female,42,018.813.6105x744,lschmitt@salinas.com,Suite,390,5,2025-08-31,2025-09-05,6090,Paid,Cash,None,Yes,Website,Watersstad
B0006,Kimberly Hanson,Male,19,+1-767-200-2651x458,normanpeggy@jones.com,Deluxe,858,2,2025-05-16,2025-05-18,12951,Cancelled,Online,Vegan meals,No,Travel Agent,Michaelafort
B0007,Dennis Garza,Male,41,(189)659-1451,ryanwalker@gmail.com,Deluxe,100,9,2024-10-11,2024-10-20,12129,Pending,Cash,Extra pillows,Yes,Website,South Terristad
B0008,Charles Velazquez,Male,24,165.443.2220x151,matthewhaley@solomon.biz,Suite,252,5,2024-09-26,2024-10-01,5588,Paid,Online,Vegan meals,No,Walk-in,Williamsbury
B0009,Terri Watson,Other,28,480.958.0949x00084,rodney30@hotmail.com,Suite,689,7,2024-12-29,2025-01-05,10610,Paid,Online,Late check-out,No,Walk-in,East Ericview
B0010,Steven Ewing,Male,46,150-100-3880x64682,bentonjacob@yahoo.com,Deluxe,658,6,2024-11-27,2024-12-03,8032,Paid,Cash,None,No,Website,East Kylehaven
B0011,Christopher Jones,Other,38,094.079.4708,ugraves@gmail.com,Standard,630,1,2024-12-04,2024-12-05,2918,Pending,UPI,Late check-out,Yes,App,East Matthew
B0012,Gregory Butler,Other,29,001-241-266-3561x5469,jason46@wright.com,Deluxe,213,8,2025-01-10,2025-01-18,10799,Paid,Card,None,No,App,Moonberg
B0013,Victoria Rodriguez,Female,48,001-681-569-6824x62390,odavidson@yahoo.com,Standard,172,9,2025-08-29,2025-09-07,2356,Paid,UPI,None,No,Travel Agent,East Brandonbury
B0014,April Martinez,Female,19,+1-882-711-6169x468,angelica68@mueller-dougherty.com,Suite,363,2,2025-06-02,2025-06-04,8147,Cancelled,Card,None,Yes,Travel Agent,West Stanley
B0015,Michelle Neal,Male,60,351-053-9146x9034,ericbrown@craig-kim.com,Suite,553,7,2024-12-17,2024-12-24,18882,Cancelled,Online,None,Yes,App,East Erica
B0016,Anthony Smith,Male,47,444-450-3263,xbooker@rush.com,Deluxe,417,8,2024-12-04,2024-12-12,10095,Pending,Online,Late check-out,Yes,Walk-in,Franklinmouth
B0017,Deanna Marquez,Female,60,001-271-661-5796,christy09@yahoo.com,Standard,352,1,2025-01-12,2025-01-13,15037,Paid,Card,Extra pillows,No,App,South Janiceton
B0018,Matthew Garcia,Male,45,+1-456-907-4625x9045,catherinerivera@yahoo.com,Standard,388,5,2025-03-20,2025-03-25,11939,Cancelled,Cash,Extra pillows,No,Website,Richardsburgh
B0019,Joshua Mosley,Female,47,(408)640-1494x59604,michael38@yahoo.com,Standard,295,8,2024-10-25,2024-11-02,9112,Cancelled,Card,None,Yes,Travel Agent,Palmermouth
B0020,John Webb,Male,49,(445)458-7223,owensdiana@yahoo.com,Standard,884,6,2024-12-04,2024-12-10,14468,Pending,Cash,Extra pillows,No,Travel Agent,East Robert
B0021,Brent Bradley PhD,Female,28,816.174.6336x913,bowmangwendolyn@bates-williams.com,Standard,157,9,2025-03-25,2025-04-03,18410,Cancelled,UPI,Vegan meals,No,Website,Josechester
B0022,Morgan Scott,Other,43,(770)433-0088x7211,krivera@butler.com,Standard,470,9,2024-09-21,2024-09-30,14811,Cancelled,Cash,None,No,Travel Agent,West Kylehaven
B0023,Amanda Buchanan,Other,66,+1-007-238-4287x972,joseph83@horn-mitchell.biz,Deluxe,206,8,2024-09-30,2024-10-08,12018,Cancelled,UPI,Late check-out,Yes,Walk-in,New Gabriel
B0024,Ellen Dunn,Female,32,558-518-9358x282,johnsonbradley@yahoo.com,Deluxe,282,10,2024-09-07,2024-09-17,11137,Pending,Card,Extra pillows,Yes,Travel Agent,Martinezstad
B0025,Laura Martin,Female,29,(255)849-4346x025,cporter@fuller.org,Suite,768,7,2025-02-09,2025-02-16,19890,Paid,Cash,None,Yes,Travel Agent,Port Gabrielville
B0026,Heather Moreno,Other,37,(330)606-5978,mariahull@yahoo.com,Standard,813,3,2025-04-11,2025-04-14,19055,Pending,Card,Extra pillows,No,Travel Agent,Alexandriaborough
B0027,Kathleen Wilson,Male,52,525-329-9615,jenkinsjohn@yahoo.com,Suite,902,10,2024-10-11,2024-10-21,11498,Pending,Cash,None,Yes,App,Mckeebury
B0028,Linda Sanchez,Male,58,001-576-349-6960x648,jonesbryan@hotmail.com,Standard,866,7,2025-07-01,2025-07-08,3722,Paid,Online,None,No,Website,Rebekahton
B0029,Matthew Duncan,Female,26,001-503-683-1072x4789,marknorman@estrada.info,Suite,588,3,2024-12-27,2024-12-30,12951,Pending,UPI,Late check-out,Yes,App,South Jaystad
B0030,Brandon Edwards,Female,53,001-216-712-0041,david06@olson.net,Suite,299,3,2025-04-19,2025-04-22,18025,Cancelled,Cash,Extra pillows,No,Travel Agent,Lake James
